binaryname,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,g_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag,r_mean_psf_mag_error,i_mean_psf_mag,i_mean_psf_mag_error,z_mean_psf_mag,z_mean_psf_mag_error,y_mean_psf_mag,y_mean_psf_mag_error
WZ Oph,4394903320895780608,256.6628294258816,0.028334794979241795,7.782724863750871,0.02520718004832194,6.372188778808755,0.03316085881787283,8.950201,4957535.482150192,1692.681495418054,9.259887,2732753.681745162,3800.578594974485,8.511665,3163019.709101132,4991.996730871743,8.574,0.024,8.369,0.033,8.269,0.026,7.655,0.03,7.674,0.019,7.661,0.02,7.308,0.131,,,,,9.46819019317627,0.00100000004749745,,,12.1816997528076,0.0
AI Hya,3077483709857255808,124.69787120299475,0.045722698587910116,0.2834927264374388,0.0354635960120828,1.5541357600204821,0.06313481856586362,9.295516,3606948.39139573,3357.9822283784924,9.4940405,2202618.2812707247,8477.205024780505,9.013668,1992052.9565506626,7766.330135575261,8.7,0.019,8.598,0.053,8.54,0.023,8.51,0.023,8.51,0.02,8.486,0.025,8.189,0.205,,,,,,,,,,
EW Ori,3234273101609865344,80.03807668498031,0.04098341686385797,2.0444838532902136,0.0356704764294236,5.4153890108629215,0.04907513710016513,9.764692,2341365.820227977,4058.8060334394204,10.090264,1271890.1760639844,7071.297491680369,9.312342,1512973.1907640204,7464.331677196421,8.808,0.023,8.604,0.063,8.498,0.021,8.429,0.022,8.45,0.019,8.449,0.026,8.405,0.312,,,,,,,,,,
V2368 Oph,4387422449939469696,259.0594671923274,0.04007894623699703,2.186129033360089,0.03747114133122319,4.596395903492563,0.05428156643343209,6.1020513,6.831652024615088E7,39654.73371231276,6.2498517,4.3713407008081116E7,92005.00372463124,5.8991256,3.508470305554471E7,168862.81995013834,5.552,0.021,5.522,0.031,5.494,0.016,5.552,0.142,5.31,0.06,5.525,0.015,5.459,0.035,,,,,,,,,,
V335 Ser,4410103003998422656,239.77405886349905,0.04123734072102706,0.595687451188367,0.028516313028540134,4.94400836759149,0.050670958162651214,7.419179,2.0308353611052282E7,7130.731294083048,7.505815,1.374767547202876E7,38611.63786664116,7.3190284,9487604.11874057,22540.746654134422,7.134,0.021,7.123,0.033,7.065,0.021,7.096,0.034,7.11,0.021,7.13,0.019,6.982,0.112,,,,,,,,,,
EE Peg,1741318868675197184,325.0080134504557,0.05452231187038314,9.184813024888303,0.06560083293281421,6.914299251348614,0.06581781212033264,6.933112,3.177616149098723E7,15571.495057051816,7.025918,2.138888342561768E7,263929.2546251597,6.8665237,1.4393237679722354E7,168387.63024573686,6.72,0.018,6.717,0.04,6.646,0.029,6.636,0.072,6.634,0.023,6.712,0.016,6.765,0.086,,,,,,,,,,
V2365 Oph,4443487368176156416,257.1907821709424,0.030494961433331417,9.18616619668404,0.029206575589178056,3.930172827361016,0.042562151687952444,8.809451,5643727.186570733,1584.0559018124457,8.967419,3577568.4796134327,3147.3734210125494,8.578067,2975372.9498721184,3506.579708344283,8.271,0.024,8.219,0.038,8.147,0.024,8.122,0.024,8.146,0.02,8.134,0.02,8.115,0.258,,,,,,,,,,
V451 Oph,4480898393059979776,277.30855842934517,0.06480183886924024,10.89206658981596,0.08204627312484027,3.3035967356871025,0.08897717189215638,7.8406343,1.3775030630661653E7,9821.069807949832,7.912463,9453008.458371304,39040.52171197188,7.7481847,6389902.071922815,26166.79160932402,7.626,0.034,7.637,0.051,7.573,0.027,7.605,0.033,7.627,0.02,7.659,0.02,7.398,0.108,,,,,,,,,,
AQ Ser,4421976453969626624,230.56328207604724,0.03327278699912657,2.503069186667595,0.02977132662012768,1.6251964219987145,0.03912091903789024,10.486677,1204135.2181396545,6032.135971746999,10.740908,698541.6326883627,10765.833846796753,10.083199,743855.3549981667,10805.708407016316,9.626,0.024,9.399,0.023,9.34,0.019,9.356,0.024,9.379,0.02,9.372,0.033,9.299,0.429,,,,,,,,,,
FT Ori,3376855677854277376,93.492308130576,0.05644353115747947,21.427545798016418,0.05166335321435505,2.1598011331382154,0.05230072857296572,9.245939,3775464.7452860684,1756.2125074776457,9.292872,2650979.415799508,8319.194068278832,9.190803,1692181.2940606643,4090.1182028031067,9.085,0.019,9.119,0.015,9.087,0.019,9.13,0.024,9.169,0.019,9.175,0.045,8.144,,,,,,,,,,,
V624 Her,4500441112720667904,266.07185268020123,0.04276974463482921,14.4101328620428,0.05024081722063368,7.111872495391238,0.06284553828322466,6.1480045,6.548539237297168E7,45924.059948034854,6.279194,4.2547853691082425E7,138265.2814583046,5.9910583,3.223626477641008E7,148454.78599351345,5.74,0.019,5.706,0.018,5.65,9.995,5.704,0.156,5.581,0.051,5.755,0.015,5.719,0.044,,,,,,,,,,
